O : à ASCO:t (dit avec dérision) (RIRE) <P1,L1> 
Y : [ 4 là tu te fais <P81,L13> 
Y : ouin c’est ça tu sais pas quoi faire là tu passes pour euh: (.) pis justement comme il dit •si tu fais de quoi pis c’est pas ta job genre° <P82,L1> 
S : ah [ 1 eux-autres ils TJOU:\ (en donnant un coup devant lui avec son index comme pour représenter l’expulsion de l’employé) <P82,L2> 
Y : [ 1 il dit •oublie ça là/° fait que regarde (.) heille il disait [ 2 •on se pognait le cul là° il dit •c’était terrible° pis il dit •finalement° il dit •comme° il dit •ça ben fait ils m’ont quasim- ils m’ont crissé dehors parce {que:;que euh}° (.) c’est quasiment il dit •ça été mie- bon mê- mais° il dit •c’était payant là ostie° [ 3 quand il faut c’est une couple de piastres de l’heure là (en hochant la tête affirmativement) (0:09:15.9) <P82,L3> 
S : [ 2 câlisse (en regardant en direction de la caméra, probablement la télévision) <P82,L4> 
O : [ 3 ben ah t’es mort de rire t’es payé: vingt-deux [ 4 vingt-trois piastres de l’heure à rien faire (en haussant les sourcils comme en signe d’incrédulité) <P82,L5> 
Y : [ 4 oui (en hochant la tête affirmativement) <P82,L6> 
Y : [ 1 ouin <P82,L7> 
S : [ 1 <p<je serais-tu gras dur moi {à;me} faire vingt piastres de [ 2 l’heure à me pogner le cul ouh:>> <P82,L8> 
Y : [ 2 ouin mais ça peut ben pas arriver (en levant le menton comme pour désigner l’affaire dont il parle) {cette ostie d’affairelà;ces affaires-là}<P82,L9> 
O : ben non regarde <P82,L10> 
Y : moi {c’est;je dis} tu {câlisser ça dehors;•câlissez ça dehors°} (en bougeant la tête vers la droite comme pour représenter l’action de mettre les employés dehors) mais là tu peux plus câlisser ça dehors un syndicat [ 1 de même <P82,L11> 
O : [ 1 ben non <P82,L12> 
Y : coup de pied dans le cul euh: <P82,L13> 
O : pis ça reVIRE c’est ça le problème ça reVIRE faut pas que ça reparte là <P82,L14> 
Y : heille si ça revire un bout de temps parce qu’ils ont eu un chèque/ <P82,L15> 
O : (il hausse les épaules comme pour signifier son ignorance) <P82,L16> 
Y : pis là: euh: regarde comment de temps là (en ouvrant sa main sur la table comme en signe d’ignorance) ça va (.) ça va retomber mort là (en faisant glisser sur la table sa main ouverte vers le haut dans un mouvement de va-et-vient comme pour présenter la situation telle qu’elle est) [ 1 on va en entendre parler (0:09:39.0) <P83,L1> 
O : [ 1 ça fait cinq ans (en donnant deux petits coups avec le tranchant de la main sur la table comme pour montrer un point précis dans le temps) ils ont de l’ouvrage pour cinq ans là <P83,L2> 
Y : pis après ça ça va retomber mort pis regarde c’est tout le temps le (.) tout le temps un ostie marde de même regarde <P83,L3> 4”) O : non [ 1 c’est la même affaire que la construction là <P83,L4> 
S : [ 1 euh <P83,L5> 
S : heille si ils {m’appellent euh;m’appelleraient} je capote <P83,L6> 
Y : non <P84,L1> 
O : [ 1 c’est la même affaire que la construction là <P84,L2> 
S : [ 1 euh <P84,L3> 
S : heille s’ils {m’appellent euh;m’appelleraient} je capote (RIRE) en attendant/ (il lève la main comme en signe d’impuissance) <P84,L4> 
O : ah/ c’est sûr pour en attendant <P84,L5> 
Y : ouin <P84,L6> 
O : moi j’y pense peut-être ben qu’au mois de décembre ils si si (.) j- je vas voir les chèques de chômage ça va être comment là/ (.) si j’ai pas de chômage full/ euh (.) j’aurai pas grand-chose en ostie <P84,L7> 
Y : (il hoche la tête affirmativement) <P84,L8> 
O : mais en même temps c’est parce que j’ai tellement d’ouvrage à faire sur la maison chez nous/ <P84,L9> 
Y : ça fait [ 1 quasiment ben <P84,L10> 
O : [ 1 faut que j’aille bûcher/ pis euh (1,3”) [ 2 j’en ai de l’ouvrage/ <P84,L11> 
Y : [ 2même pas encore commencé nous-autres notre bûchage man (.) pis on a quoi on a quinze trente/ (.) qua- on a quarante-cinq cordes à faire là <P84,L12> 1,5”) O : ah [ 1moi itou là/ <P84,L13> 
Y : [ 1 quarante-cinq cinquante [ 2 cordes à faire (0:00:34.8) <P84,L14> 
O : [ 2 mais là je pensais l’autre coup euh: j’avais donné un [ 3 ruban à mon beau-p- <P84,L15> 
Y : [ 3mais là il mouille tout le temps/ [ 4 crisse tabarnaque c’est pas une température là <P84,L16> 
O : [ 4 ah oui <P84,L17> 
O : heille imagines-[ 1 tu/ <P84,L18> 
Y : [ 1 ça va être swampeux (en levant le menton comme pour désigner le moment dont il parle) pis ça va être ben trop [ 2 {en tout cas;(inaud.)} <P84,L19> 
O : [ 2 hier hier nous-autres où est-ce que je bûchais/ où est-ce que (en inclinant la tête vers la gauche comme pour désigner l’endroit dont il parle) [ 3 je faisais ben non mais moi je travaille pour un gars/ un gars euh à la shop en dessous de la table/ (en donnant deux petits coups avec l’index sur la table comme pour insister sur ses propos) (.) lui il vend du bois en ville (en pointant son pouce derrière lui comme pour désigner l’endroit dont il parle) (.) eux-autres ils reçoivent les vans de pitounes/ (en donnant deux coups avec le tranchant de sa main à deux endroits différents sur la table comme pour représenter l’arrivée des pitounes) <P85,L1> 
Y : [ 3 t’es allé bucher/ hier/ <P85,L2> 
Y : (il hoche la tête affirmativement) <P85,L3> 
O : on les scie (en traçant un cercle dans les airs avec son index comme pour représenter le sciage) on [ 1 les fend pis (en traçant une ligne avec son index sur la table comme pour représenter la ligne de coupe) (il pointe son pouce derrière lui comme pour désigner l’endroit dont il parle) <P85,L4> 
Y : [ 1 ouin c’est ça tu disais ouin (en hochant la tête affirmativement) <P85,L5> 
O : heille↑ il mouillait à [ 1 siaux ostifie pis il chargeait ça dans le [ 2 trailer pis (en pointant son pouce derrière lui comme pour désigner l’endroit dont il parle) <P85,L6> 
Y : [ 1 {ok ok;(inaud.)} <P85,L7> 
Y : [ 2 lui il refend il re- il reçoit la van/ (.) il recoupe en bois de chauffage/ (en donnant des coups avec le tranchant de sa main droite dans la paume de sa main gauche comme pour représenter l’action de couper le bois) pis [ 3 il revend ça (0:01:00.9) <P85,L8> 
O : [ 3 pis il revend ouin (en inclinant la tête vers la droite comme pour représenter l’envoi du bois) <P85,L9> 
Y : ok ouin <P85,L10> 
O : mais euh: heille↑ il mouillait à siaux pis il allait livrer ça chez le monde j’étais là le gars/ là/ qui reçoit ça là/ (en avançant son menton comme pour désigner le bois dont il parle) pis qui rentre ça dans sa cave/ là <P85,L11> 
S : déshumidificateur au [ 1 coton man vroum:: (dit comme pour imiter le bruit du déshumidificateur et en donnant un coup de poignet vers le bas comme pour mimer qu’il actionne un interrupteur qui démarrait le déshumidificateur) <P85,L12> 
O : [ 1 han t’as pas le choix c’est c’est c’est [ 2 {c’est pire;(inaud.)} <P85,L13> 
Y : [ 2 ouin mais (.) [ 3 premièrement le gars qui rentre ça à ce temps-là il est innocent un peu [ 4 {je sais pas;(inaud.)} (il incline la tête vers la gauche comme pour exprimer une évidence) <P86,L1> 
S : [ 3 vroum:: (dit comme pour imiter le bruit du déshumidificateur et en donnant un coup de poignet vers le bas comme pour mimer qu’il actionne un interrupteur qui démarrait le déshumidificateur) <P86,L2> 
O : [ 4 ben oui <P86,L3> 
Y : un gars [ 1 {il;qui} peut faire ça (inaud.) <P86,L4> 
O : [ 1 ouin mais lui il est mort de rire/ là/ euh avant/ (.) au début de l’été (en posant la tranche de sa main sur la table comme pour désigner le moment précis dont il parle) <P86,L5> 
S : chez Gilles Ruel on l’a déjà rentré en plein hiver <P86,L6> 
Y : (il lève le menton et arrondit ses lèvres comme en signe d’incrédulité) <P86,L7> 
O : pis c’est quasiment moins pire en hiver <P86,L8> 
S : ah il est tout sec (en levant la main comme pour insister sur ses propos) <P86,L9> 
O : il est sec/ <P86,L10> 
Y : ouin ah ouin c’est ça [ 1 parce que il est comme juste trem- (en ouvrant ses mains comme pour présenter la situation telle qu’elle est) (.) [ 2mais en tout cas <P86,L11> 
S : [ 1 on l’a rentré d’hiver <P86,L12> 
S : [ 2 ça avait pas adonné/ ostie pis là on l’a rentré [ 3 on a fait un voyage (inaud.) (0:01:30.8) <P86,L13> 
Y : [ 3 ouin mais même le best/ c’est (.) j’ai déjà rentré ça chez mon père moi drette dans le mois de juin/ (en levant le pouce comme pour présenter la situation telle qu’elle est) là t’sais <P86,L14> 
S : ben oui <P86,L15> 
O : [ 1 ben oui <P86,L16> 
Y : [ 1 t’arrives crisse ostie de tabarnaque euh (en reculant sur sa chaise et en levant les mains comme pour exprimer une évidence) <P86,L17> 
O : mon beau-[ 1 frère astheure il le bû- <P86,L18> 
Y : [ 1 t’sais il est bûché depuis l’automne (en donnant un coup avec le tranchant de la main sur la table comme pour indiquer un moment précis) dans le mois de juin il est rentré (en ramenant sa main sur sa poitrine comme pour représenter l’entrée du bois) t’as la paix tabar[2 naque il est rentré [ 3 pis il a le temps de sécher tout (en déplaçant sa main de gauche à droite comme pour représenter une durée) <P87,L1> 
O : [ 2 ah oui mon beau-frère astheure c’est ça qu’il fait <P87,L2> 
S : [ 3 {mais lui euh;(inaud.)} <P87,L3> 
S : [ 1 nous-autres <P87,L4> 
O : [ 1 il le bûche l’automne/ (en donnant un coup avec le tranchant de la main sur la table comme pour indiquer un moment précis) pis quand [ 2 qu’il le fend (en donnant un deuxième coup, plus à sa droite comme pour indiquer un deuxième temps) c’est direct dans la cave (en pointant son pouce derrière lui comme pour désigner l’endroit dont il parle) <P87,L5> 
Y : [ 2 (il hoche la tête affirmativement) <P87,L6> 
S : [ 1 ben là c’est ça (en pointant son index gauche vers la gauche comme pour désigner le bois dont il parle) <P87,L7> 
Y : [ 1 pis il y a moins de bébittes/ [ 2 ostie (en pointant son index en direction de Sylvain comme pour attirer son attention sur ses propos) si tu le rentres plus de bonne heure il y a moins de (.) coccinelles (en comptant sur ses doigts) pis des [ 3 affaires de même là-dedans <P87,L8> 
S : [ 2 là il est prêt (en pointant son index gauche vers la gauche comme pour désigner le bois dont il parle) <P87,L9> 
O : [ 3 ah ouais ouais (.) des araignées <P87,L10> 
S : nous-autres le bois de l’année prochaine il est tout fendu (en pointant son index gauche vers la gauche comme pour désigner le bois dont il parle) tout il est tout p- (.) [ 1 nous on met sur des palettes là/ (en faisant glisser sa main dans les airs parallèlement à la table comme pour représenter les palettes) <P87,L11> 
Y : [ 1 il est déjà fait pour l’année proch- [ 2 ouin [ 3 ben c’est ça (en hochant la tête affirmativement) <P87,L12> 
O : [ 2 ouin <P87,L13> 
S : [ 3 on met ça sur des palettes (en faisant glisser sa main dans les airs parallèlement à la table comme pour représenter les palettes) (.) [ 4 pis là il est déjà tout prêt [ 5 fait {que:;que euh} (en pointant son index vers l’avant comme pour désigner le bois dont il parle) <P87,L14> 
Y : [ 4 (il hoche la tête affirmativement) <P87,L15> 
Y : [ 5 il est déjà tout là là/ <P88,L1> 
S : ah oui (.) le bois [ 1 de l’année prochaine/ il est tout prêt (en faisant des mouvements de va-etvient dans les airs avec l’index comme pour désigner le bois dont il parle) <P88,L2> 
Y : [ 1 calvaire (en hochant la tête affirmativement) (0:02:00.5) <P88,L3> 
Y : nous-autres on va le bûcher cet automne (en donnant de petits coups sur la table avec son index comme pour désigner le moment dont il parle) [ 1 pour euh: le rentrer l’année prochaine (en déplaçant sa main sur la table comme pour représenter l’entrée du bois) <P88,L4> 
O : [ 1 ben moi ben vite [ 2 ouin (en donnant un coup avec le tranchant de la main sur la table comme pour indiquer un moment précis) <P88,L5> 
S : [ 2 il est fendu tout ostie <P88,L6> 
Y : [ 1 crisse (en inclinant la tête comme en signe d’incrédulité) <P88,L7> 
O : [ 1moi je me le bûche en pitounes là/ pis d’après moi je vais le descendre en pitounes direct à la maison (en donnant un coup de poignet vers l’avant avec l’index pointé comme pour indiquer une direction) <P88,L8> 
Y : pis tu vas te le [ 1 redébiter là (en donnant de petits coups avec le tranchant de sa main sur la table comme s’il fendait le bois) <P88,L9> 
O : [ 1 ben on va le fendre dans dans le garage ostifie [ 2 pis <P88,L10> 
Y : [ 2 t’as-tu une fendeuse euh <P88,L11> 
O : ben mon beau-père en a une avec un: petit moteur là/ <P88,L12> 
Y : ah ok ok (en hochant la tête affirmativement) <P88,L13> 
O : mais euh le gars avec [ 1 qui je (en pointant son pouce par-dessus son épaule comme pour désigner le gars dont il parle) <P88,L14> 
Y : [ 1 avec des roues là/ (en arrondissant sa main comme pour représenter les roues) que [ 2 tu que tu m- (en tournant la tête vers la gauche comme pour désigner un endroit) <P88,L15> 
O : [ 2 ouin↑ mais le gars le gars (en pointant son index vers la droite comme pour désigner le gars dont il parle) pour qui je travaille là il me louerait son processeur (.) là l’autre coup il m’a dit •dix piastres la corde° là/ j’ai dit •si tu me livres ça dix piastres de la corde je suis mort de rire en ostie° <P88,L16> 
Y : de quoi son processeur tu parles (0:02:30.1) <P89,L1> 
O : lui c’est une machine tu mets la pitoune d’un bord/ (en étirant ses bras vers sa gauche comme pour désigner l’endroit dont il parle) <P89,L2> 
Y : ok [ 1 ok ouais <P89,L3> 
O : [ 1 pis il sort fendu de l’autre [ 2 bord/ (en étirant vivement son bras droit vers la droite comme pour désigner l’endroit dont il parle) <P89,L4> 
Y : [ 2mais à dix piastres la corde tu lui dis pas comment tu en as [ 3 fait de cordes <P89,L5> 
O : [ 3 non mais tu fais vingt cordes c’est même pas deux cents piastres <P89,L6> 
Y : ouais mais c’est pas [ 1 grave <P89,L7> 
O : [ 1 pis tu fais ça tu fais [ 2 ça en deux <P89,L8> 
Y : [ 2 tu lui dis tu en as fait DIX cordes <P89,L9> 
O : pis t’as tu fais ça en [ 1 trois heures ou quatre heures même pas <P89,L10> 
Y : [ 1 (il hoche la tête affirmativement) <P89,L11> 
Y : ouais (en inclinant la tête comme en signe de concession) (.) [ 1 (inaud.) <P89,L12> 
O : [ 1 sauf ça prend un tracteur (il hausse les épaules comme pour insister sur son contre-argument) parce que ça vire sur le PTO <P89,L13> 
Y : ah c’est un PTO (en hochant la tête affirmativement) <P89,L14> 
S : {vous l’avez;(inaud.)} le tracteur <P89,L15> 
O : ben ouais mais heille regarde (.) lui quand qu’il m’a dit ça mais euh d’après moi ils auront pas le temps ben ben parce que (.) cette année (en donnant un coup sur la table avec le tranchant de sa main comme pour indiquer un moment précis) ils ont commencé au mois de juin (.) pis checke ils (en donnant des petits coups sur la table en déplaçant sa main comme pour représenter l’avancement du temps) (.) là il est mort de rire/ il a commencé au mois de juin avec quatre-vingtquinze piastres de la corde/ (en donnant un coup sur la table avec le tranchant de sa main comme pour marquer le moment dont il parle) (.) cent cinq livrées\ (en donnant un coup sur la table avec le tranchant de sa main comme pour insister sur ses propos) (1,7”) pis là il est rendu à cent quinze piastres la corde (en donnant un coup sur la table avec le tranchant de sa main comme pour marquer le moment dont il parle) [ 1 (il pointe derrière lui comme pour représenter les livrées dont il va parler) [ 2 cent vingt-cinq [ 3 livrées (0:03:10.5) <P89,L16> 
Y : [ 1 (il hausse les épaules comme pour exprimer une fatalité) <P90,L1> 
Y : [ 2 c’est le monde <P90,L2> 
Y : [ 3 le monde qui en veulent à [ 4 ce temps-là là <P90,L3> 
O : [ 4 ben regarde il dit •gang d’innocents° euh <P90,L4> 
Y : je suis allé euh c’est où euh au Réno-Dépôt à Québec (.) je suis allé voir ça (dit en riant) <P90,L5> 
O : ben eux-autres c’est quoi c’est un affaire {de:;de euh} <P90,L6> 
Y : un affaire c’est un petit rack là (en écartant ses mains comme pour montrer la largeur puis la hauteur du rack dont il parle) <P90,L7> 
O : une demi- une mini [ 1 palette là/ <P90,L8> 
Y : [ 1 (il hoche la tête affirmativement) ouin genre comme une mini palette/ (en créant un espace entre ses mains comme pour montrer la largeur puis la hauteur du rack dont il parle) c’est même pas une corde/ <P90,L9> 
S : ben ça doit être des [ 1 bûches biologiques ça/ <P90,L10> 
Y : [ 1 pis c’est un affaire de quatre-vingt-dix piastres ah non (en hochant la tête négativement) du bois [ 2 euh (en ouvrant les mains comme pour décrire le bois dont il parle) <P90,L11> 
O : [ 2 non non c’est [ 3 du bois <P90,L12> 
Y : [ 3 pis c’est des petites crisse de là d’affaire (en joignant ses mains en forme de cercle comme pour montrer la grosseur des morceaux) des morceaux fendus à peu près gros de même là t’sais (en formant un rectangle en joignant ses pouces et ses index comme pour montrer la grosseur des morceaux) (.) que genre quand tu chauffes (en projetant ses mains vers l’avant comme s’il jetait du bois dans le feu) [ 4 (inaud.) (en hochant la tête négativement) <P90,L13> 
O : [ 4 t’en t’en mets trois quatre [ 5 pis c’est tout brûlé <P90,L14> 
Y : [ 5 ouin pis ça passe tout de suite (.) t’sais la nuit/ là ça te prend une belle (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) t’sais des fois [ 6 tu t’en gardes une bonne (.) une bûche grosse de [ 7même (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) tu la fends drette en deux là t’sais (en donnant un coup avec le tranchant de la main sur la table comme s’il coupait du bois) <P91,L1> 
O : [ 6 des grosses bûches <P91,L2> 
S : [ 7 ça prend des bûches de nuit/ <P91,L3> 
S : ça prend des bûches de [ 1 nuit/ pis des bûches de jour <P91,L4> 
Y : [ 1 ben ou genre juste une grosse de même habituellement tu la gardes (.) [ 2 pour la nuit/ là t’sais (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) <P91,L5> 
S :[ 2 {correct ça;(inaud.)} crisse euh en bas de ça/ nous-autres on fend pas ça\ (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) (0:03:47.9) <P91,L6> 
Y : ben: c’est ça des affaires de même là [ 1 tu (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) ouin (en hochant la tête affirmativement) <P91,L7> 
O : [ 1 ah faut que t’aies au moins huit pouces (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) (.) six huit (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) <P91,L8> 
Y : des affaires de même tu gardes ça rond ça c’est sûr (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) <P91,L9> 
S : des affaires brrp (en rapprochant ses mains en forme de cercle comme pour montrer la grosseur de la bûche) <P91,L10> 
Y : t’sais c’est pour la nuit [ 1 tu crisses {ça pour le soir;(inaud.)} (en projetant ses mains vers la gauche comme s’il lançait une bûche dans le feu) <P91,L11> 
S : [ 1 <f<des fois il y en a des grosses AH>> en écartant les bras devant lui comme pour exprimer une prise de conscience) bûche de nuit tss (en projetant sa main vers la gauche comme s’il lançait une bûche dans le feu) <P91,L12> 
Y : un [ 1morceau euh: un morceau fendu euh ça brûle ben plus vite (en inclinant la tête vers la gauche comme pour exprimer une évidence) (0:04:01.4) <P91,L13> 
S : [ 1 bûche de nuit (en projetant sa main vers la gauche comme s’il lançait une bûche dans le feu) <P92,L1> 
O : moi l’important c’est que ça passe dans la porte pis après ça (en pivotant sa main parallèle à la table comme en signe de complétude) <P92,L2> 
Y : (RIRE) <P92,L3> 
O : heille mon beau-père il me regarde •tu les fends grosses en crif° (dit en prenant une voix rauque comme pour imiter son beau-père et en relevant un côté de sa lèvre supérieure comme pour exprimer une critique) (.) •la porte de la [ 1 fournaise est grosse en masse° (.) [ 2 de toute façon en plus la porte est moins grosse (en écartant les mains comme pour montrer la grosseur de la porte) {que:;que euh} l:e trou là (en écartant les bras comme pour montrer la grosseur du trou) [ 3 fait que aussitôt [ 4 qu’elle est passée un peu euh: (en ouvrant et en levant ses deux bras vers le haut comme s’il passait une bûche par la porte d’une fournaise) <P92,L4> 
Y : [ 1 tss (il hoche la tête de gauche à droite comme pour signifier qu’il suit la conversation) <P92,L5> 
Y : [ 2 tu chauffes pas souven- <P92,L6> 
Y : [ 3 ok (en hochant la tête affirmativement) <P92,L7> 
Y : [ 4 ouin c’est ça <P92,L8> 
Y : normalement c’est de même <P92,L9> coupure dans la vidéo) Y : comment ça tu en as même (en haussant une épaule comme pour exprimer une évidence) pas pris de la (inaud.) (.) quand [ 1 il y avait de quoi avec Timour/ <P92,L10> 
O : [ 1 ben oui {le coup;(inaud.)} avec Timour ouin <P92,L11> 
Y : ah ok ok <P92,L12> 
O : mal de tête [ 1 le lendemain <P92,L13> 
S : [ 1 ah moi itou là [ 2 <f<moi le fort je suis pas capable>> <P92,L14> 
Y : [ 2 ouin mais c’était le dernier coup là (0:04:28.1) <P92,L15> 
Y : moi là moi je suis capable (dit en riant) mais ma- (.) je perds euh:: (en hochant la tête affirmativement) je perds la tête avec ça (.) ce soir-là (en pointant son index vers l’avant comme pour désigner un moment précis) c’est justement (.) j’ai remonté chez n- (dit en riant et en pointant son pouce vers l’arrière comme pour désigner l’endroit dont il parle) (.) [ 1 fermé le bar ah ouais j’étais chaud en tabarnaque [ 2 heille <P92,L16> 
O : [ 1 à pied ouin <P93,L1> 
S : [ 2moi je bois du fort là/ pis le lendemain j’ai la tête veut me sortir ostie <P93,L2> 
Y : non c’est pas moi c’est pas c’est pas la question je file mal le lendemain/ (.) c’est comme avec de la bière (en déplaçant sa main sur la table comme pour répresenter la comparaison) (.) vire une brosse avec de la bière pis ça {va être;donne} le même feeling [ 1 qu’avec du fort (en hochant la tête négativement) <P93,L3> 
S : [ 1 ben moi le lendemain [ 2m’a:s faire ma journée pas de trouble <P93,L4> 
Y : [ 2 sauf qu’avec du fort là la bière tu vas te sentir tu vas devenir chaud à un moment donné (.) [ 3mais le fort (.) du fort tu le sens plus d’un coup t’es déjà chaud pis tu continues à boire ça comme de la bière t’sais (en rapprochant sa main recourbée de son visage en un mouvement de va-et-vient comme s’il tenait un verre et le portait plusieurs fois à sa bouche) (.) tu bois ça trop vite ostie à moment donné [ 4 euh: en tout cas <P93,L5> 
O : [ 3 pas avec du fort (.) ça tape (0:05:01.1) <P93,L6> 
O : [ 4 (il hausse les sourcils comme en signe d’assentiment) <P93,L7> 
S : [ 4 heille hier le Canadian Club ça heille rentrait tsu tsu tsu (en rapprochant sa main recourbée de son visage en un mouvement de va-et-vient comme s’il tenait un verre et le portait plusieurs fois à sa bouche) (.) j’ai dit •wô (en pivotant sa main parallèle à la table rapidement comme pour exprimer que c’est assez) faut slaquer [ 5 ostie° <P93,L8> 
Y : [ 5 ouin mais quand tu chauffes pas c’est pas pire là mais (.) ouin tu travaillais toi par exemple (en levant le menton vers Sylvain comme pour le désigner) <P93,L9> 
S : ah je travaillais (dit en riant) <P93,L10> 
Y : non non (en levant le menton comme pour exprimer une évidence) pas aujourd’hui c’est vrai ostie (.) je me pense ostie samedi <P93,L11> 
O : à matin [ 1 tu faisais pas le train/ <P93,L12> 
Y : [ 1 je me pense vendredi/ soir [ 2 {moi;man} <P93,L13> 
S : [ 2 <p<non (en hochant la tête négativement) rien qu’à soir>> .) à soir demain matin (.) pis demain soir ben là: il était censé aller t- faire une tire de chevaux à Rimouski mai:s [ 3 ils annoncent de la neige ostie <P94,L1> 
Y : [ 3 qui ça↑ <P94,L2> 
S : Serge <P94,L3> 
Y : ok (en hochant la tête affirmativement) <P94,L4> 
S : fait que là je faisais le train [ 1 là à soir <P94,L5> 
Y : [ 1 il annonce de la neige à Rimouski/ <P94,L6> 
S : hum (en hochant la tête affirmativement) <P94,L7> 
O : ça [ 1 commence (.) ça commence (.) [ 2 on est au mois d’octobre (0:05:29.6) <P94,L8> 
Y : [ 1 <f<calvaire de crisse>> <P94,L9> 
S : [ 2 il en annonce cette semaine ici <P94,L10> 
Y : ah oui moi (dit en baillant) [ 1 j’ai rentré les tomates là j’ai rentré les tomates <P94,L11> 
O : [ 1 de la neige fondante <P94,L12> 
O : ouin <P94,L13> 
Y : pour pas que ça gèle <P94,L14> 
S : ça doit être à la veille de geler <P94,L15> 
Y : ah mais il y en a ça a gelé déjà par ici (en pointant son menton vers la droite comme pour désigner le lieu dont il parle) <P94,L16> 
S : ah ouin/ <P94,L17> 
Y : ah oui euh:: samedi voilà deux semaines/ (.) [ 1 je me suis levé pour venir taponner ici à la maison (en pointant son pouce par-dessus son épaule comme pour désigner l’endroit dont il parle) il [ 2 était quoi (il regarde vers le haut comme en signe de réflexion) sept heures là pis le windshield étai:t frosté [ 3 là (en passant sa main devant lui comme pour représenter le givre sur le pare-brise dont il parle) (il hoche la tête affirmativement <P94,L18> 
S : [ 1 <pp<{deux semaines;(inaud.)}>> <P94,L19> 
O : [ 2 c’était gelé {ben il faisait clair/;(inaud.)} <P94,L20> 
S : [ 3 ah: ouin <P94,L21> 
O : [ 3 au:: à:: à St-Martin ça fait un mois que [ 4 ça gèle <P95,L1> 
Y : [ 4 ouin (.) [ 5 ah ouin <P95,L2> 
S : [ 5moi je sais pas moi ça\ <P95,L3> 4”) O : moi je m’étais trouvé un beau jardin/ pis (.) ça marchera pas <P95,L4> 
Y : (il hoche la tête négativement) <P95,L5> 
O : il y a du monde qui habite trop [ 1 proche astheure (RIRE) (0:06:02.6) <P95,L6> 
Y : [ 1 ouin (en levant le menton comme en signe de connivence) ouin astheure là oui c’est ça (dit en riant) (RIRE) [ 2 (inaud.) (dit en riant) <P95,L7> 
O : [ 2 avant c’était la fin de semaine [ 3mais là c’est rendu à l’année <P95,L8> 
Y : [ 3 là ils vont prendre des marches ostie (.) câlisse (.) non (2,1”) ouin/ <P95,L9> 
O : plus tard <P95,L10> 
Y : {mon dieu;m’on dit;(inaud.)} <P95,L11> 
O : à un moment donné {je vas;m’as} ben m’en acheté une terre/ <P95,L12> 
S : <p<moi fuck j’en achète pas (.) j’en ai une ostie>> <P95,L13> 
Y : t’en as une terre/ tu veux pogner une Renée Boulet là/ <P95,L14> 
S : une terre à bois <P95,L15> 
Y : t’as une terre/ à bois toi/ (0:06:29.8) <P95,L16> 
S : ben quasiment (.) je peux faire tout ce que [ 1 je veux dessus (en haussant une épaule comme pour exprimer une évidence) <P95,L17> 
Y : [ 1 (inaud.) [ 2 (inaud.) <P95,L18> 
O : [ 2 {ti;chez} Gilles Ruel/ ouin <P95,L19> 
S : heille on a soixante et cinq hectares <P95,L20> 
Y : (il hoche la tête affirmativement) [ 1 c’est grand/ (en hochant la tête affirmativement) <P95,L21> 
S : [ 1 en bois (.) c’est éNORME man/ c’est pas grand c’est énorme (.) fait que ça me donne rien de m’acheter une terre là {la situation;si tu regardes ça;(inaud.)}/ (en pointant devant lui comme pour désigner le moment dont il parle) ce printemps [ 2 là si mettons j’ai pas trop d’ouvrage {pis tout;(inaud.)} [ 3 <p<je vas faire du sirop>> <P96,L1> 
Y : [ 2 (il hoche la tête affirmativement) ouin ouin <P96,L2> 
O : [ 3 faire de la cabane à sucre/ <P96,L3> 
S : (il arrondit ses lèvres comme pour exprimer la probabilité) faire du sirop <P96,L4> 
Y : ah ouin/ (en hochant la tête affirmativement) <P96,L5> 
S : (il hoche la tête affirmativement et arrondit ses lèvres comme pour exprimer la probabilité) <P96,L6> 
Y : [ 1 lui il les entaille pas/ (inaud.) <P96,L7> 
O : [ 1 {je vas;m’as} voir peut-être ben que je vas être encore [ 2 sur le chômage (0:06:49.8) <P96,L8> 
S : [ 2 (il hoche la tête négativement) <pp<non>> <P96,L9> 
Y : crisse comme Roberge/ il disait ça euh: comme l’année passée <all<il en a fait>> .) chez euh: [ 1Roland pis Roméo euh b- euh:: <all<il dit •on a pas le temps avec Roberge° il dit •moi m’as m’en occuper/°>> .) fait qu’il dit euh •vas-y vas-y fort° (en inclinant la tête et en levant la main comme pour exprimer l’encouragement) [ 2 pis c’est lui qui s’en occupait crisse <P96,L10> 
S : [ 1 ouin {chez;je sais} (en hochant la tête affirmativement) <P96,L11> 
O : [ 2 {du sucre de où (.) du sucre de où;(inaud.)} là/ <P96,L12> 
Y : ben: non comme il disait •toi occupe-toi en on te paye ton salaire/° (en étendant les doigts sur la table comme s’il donnait de l’argent) (.) pis c’est eux-autres qui vont ramasser tout le profit euh (en ramenant sa main vers lui comme s’il ramassait de l’argent) (.) à la place il dit que ça l- •comment tu veux pour {que:;que euh} je m’en occupe pis tout [ 1 t’sais° <P96,L13> 
